Country,Indicator_x,Unit_Measure(T),Pesticide_Type,Year,Tonnes,Indicator_y,Unit_Measure(kg/ha),Kg_per_ha
Namibia,Pesticides Agricultural Use,Tonnes,Pesticides (total),1994,453.0,Pesticides Use per area of cropland,Kilogram per hectare,0.7599999999999999
Eswatini,Pesticides Agricultural Use,Tonnes,Insecticides,1994,285.0,Pesticides Use per area of cropland,Kilogram per hectare,3.9
Eswatini,Pesticides Agricultural Use,Tonnes,Herbicides,1994,172.0,Pesticides Use per area of cropland,Kilogram per hectare,3.9
Eswatini,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1994,216.0,Pesticides Use per area of cropland,Kilogram per hectare,3.9
Eswatini,Pesticides Agricultural Use,Tonnes,Pesticides (total),1994,673.0,Pesticides Use per area of cropland,Kilogram per hectare,3.9
South Africa,Pesticides Agricultural Use,Tonnes,Insecticides,1994,4069.0,Pesticides Use per area of cropland,Kilogram per hectare,1.2
South Africa,Pesticides Agricultural Use,Tonnes,Herbicides,1994,7325.0,Pesticides Use per area of cropland,Kilogram per hectare,1.2
South Africa,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1994,4025.0,Pesticides Use per area of cropland,Kilogram per hectare,1.2
South Africa,Pesticides Agricultural Use,Tonnes,Pesticides (total),1994,15419.0,Pesticides Use per area of cropland,Kilogram per hectare,1.2
Zambia,Pesticides Agricultural Use,Tonnes,Insecticides,1994,427.0,Pesticides Use per area of cropland,Kilogram per hectare,0.38
Zambia,Pesticides Agricultural Use,Tonnes,Herbicides,1994,340.0,Pesticides Use per area of cropland,Kilogram per hectare,0.38
Zambia,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1994,62.0,Pesticides Use per area of cropland,Kilogram per hectare,0.38
Zambia,Pesticides Agricultural Use,Tonnes,Pesticides (total),1994,829.0,Pesticides Use per area of cropland,Kilogram per hectare,0.38
Zimbabwe,Pesticides Agricultural Use,Tonnes,Insecticides,1994,649.0,Pesticides Use per area of cropland,Kilogram per hectare,0.52
Zimbabwe,Pesticides Agricultural Use,Tonnes,Herbicides,1994,795.0,Pesticides Use per area of cropland,Kilogram per hectare,0.52
Zimbabwe,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1994,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.52
